"Timestamp","Пол","Возрастная группа","Семейное положение","Тип города проживания","Количество используемых банков (цифра)","Количество дебетовых карт","Количество кредитных карт","Количество  приложений разных банков","Частота использования приложения, в месяц (примерное количество раз)","Самая частая операция","Какой функции вам не хватает"
"2023/03/05 6:12:03 PM GMT+2","Женский","25 - 34","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","3","3","0","2","20","Перевод средств другому лицу","чтоб по категориям лучше разбивалось"
"2023/03/05 8:43:37 PM GMT+2","Женский","25 - 34","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","3","3","1","4","20","Смотрю историю операций",""
"2023/03/06 7:02:01 AM GMT+2","Женский","45 - 54","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","4","3","1","4","30","перевод между своими счетами",""
"2023/03/06 9:36:56 AM GMT+2","Женский","18 - 25","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","3","2","2","3","50","Проверка баланса","Такой нет"
"2023/03/06 11:43:05 AM GMT+2","Женский","35 - 44","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","4","5","0","4","","Прочие оплаты (кредиты, комунальные услуги)",""
"2023/03/06 11:49:20 AM GMT+2","Мужской","35 - 44","В браке ( в т.ч. гражданском)","Крупные (от 250 тыс до 1 млн)","2","4","1","2","20","Перевод средств другому лицу",""
"2023/03/06 1:27:26 PM GMT+2","Женский","35 - 44","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","2","2","0","2","30","Перевод средств другому лицу","удобства) "
"2023/03/06 5:09:38 PM GMT+2","Женский","25 - 34","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","3","5","0","3","45","Совершение покупки","Нормальной статистики с тратами, чтобы там не учитывались переводы между счетами и другим пользователям"
"2023/03/06 8:12:22 PM GMT+2","Мужской","25 - 34","В браке ( в т.ч. гражданском)","Сельские поселения (поселки, деревни,села)","3","2","0","3","8","Проверка баланса",""
"2023/03/07 2:17:01 PM GMT+2","Женский","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","3","3","0","4","60","Совершение покупки",""
"2023/03/07 2:17:41 PM GMT+2","Мужской","25 - 34","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","3","2","2","3","10","Перевод средств другому лицу","Убрать всю рекламу "
"2023/03/07 2:19:38 PM GMT+2","Женский","25 - 34","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","1","5","1","1","30","Проверка баланса","Бесплатные деньги"
"2023/03/07 2:21:36 PM GMT+2","Мужской","35 - 44","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","5","5","5","5","20","Проверка баланса",""
"2023/03/07 2:23:33 PM GMT+2","Женский","25 - 34","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","1","1","0","1","20","Проверка баланса",""
"2023/03/07 2:26:37 PM GMT+2","Женский","25 - 34","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","1","1","0","3","почти каждый день","Проверка баланса",""
"2023/03/07 2:28:14 PM GMT+2","Мужской","25 - 34","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","3","3","3","5","30","Перевод средств другому лицу","Автоматический перевод некой суммы с покупки на какую то цель. Например откладывать на покупку картриджа с покупки бумаги, откладывать на будущее ТО с оплаты бензина или на спортзал с покупки булочки 😁🌹❤️"
"2023/03/07 2:33:28 PM GMT+2","Женский","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","2","2","0","2","6","Совершение покупки","вроде всего хватает)"
"2023/03/07 2:38:26 PM GMT+2","Женский","35 - 44","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","7","11 - всего, активно используемых - 4","4","7","От 1 до 50, в зависимости от банка","Совершение покупки","Всего хватает. Надоели бесконечные обновления приложений 😂"
"2023/03/07 2:43:58 PM GMT+2","Женский","25 - 34","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","3","3","0","3","30","Совершение покупки",""
"2023/03/07 2:46:27 PM GMT+2","Женский","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","2","2","1","3","30+-","Проверка баланса","все норм"
"2023/03/07 2:54:03 PM GMT+2","Мужской","35 - 44","В браке ( в т.ч. гражданском)","Малые (до 50 тыс)","4","3","0","1","1","Перевод средств другому лицу","-"
"2023/03/07 3:00:40 PM GMT+2","Мужской","Меньше 18","Вдовец (вдова)","Сельские поселения (поселки, деревни,села)","50","1","70","500","Каждую минуту","Взятие кредита ","Блокировки возможности оформить кредит "
"2023/03/07 3:06:04 PM GMT+2","Мужской","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","2","2","0","2","30","Совершение покупки","Пока всего достаточно"
"2023/03/07 3:11:13 PM GMT+2","Женский","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","4","4","0","4","9","Совершение покупки",""
"2023/03/07 3:28:58 PM GMT+2","Женский","18 - 24","В браке ( в т.ч. гражданском)","Крупнейшие (от 1 млн жителей)","5","1","0","3","1-50","Проверка баланса",""
"2023/03/07 3:58:50 PM GMT+2","Женский","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","3","3","0","3","","Совершение покупки",""
"2023/03/07 4:27:50 PM GMT+2","Мужской","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","2","2","2","2","5","Перевод средств другому лицу","При вводе суммы для перевода не хватает кнопки ""перевести всё"" (для перевода всех денег с конкретного счёта). Часто лень руками вводить все цифры) "
"2023/03/07 4:36:18 PM GMT+2","Мужской","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","2","2","0","4","700","Совершение покупки",""
"2023/03/07 8:03:33 PM GMT+2","Мужской","25 - 34","В браке ( в т.ч. гражданском)","Крупные (от 250 тыс до 1 млн)","3","3","1","3","20+","Совершение покупки","Apple Pay"
"2023/03/07 10:14:04 PM GMT+2","Мужской","18 - 24","Не замужем (холост)","Крупнейшие (от 1 млн жителей)","1","3","0","1","30","Проверка баланса",""
