,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,month
481769,2020-12-21 20:51:16+00:00,purchase,326436,2144415925162475696,stationery.paper,svetocopy,13.3,1515915625566352380,ULOccUpyz7,2020-12-01
63335,2020-10-08 17:31:49+00:00,purchase,1423328,2144415923107266682,computers.peripherals.printer,brother,199.37,1515915625504063355,pVOnjlZ4P5,2020-10-01
274539,2020-11-13 18:53:36+00:00,purchase,4156062,2144415922872385653,electronics.tablet,digma,107.79,1515915625538590759,MARNhsaiQn,2020-11-01
463718,2020-12-18 15:53:11+00:00,purchase,3642540,2144415925011480748,stationery.cartrige,hp,26.19,1515915625526797470,uEdYqZCfQP,2020-12-01
278615,2020-11-14 13:15:20+00:00,purchase,4099648,2144415922427789416,computers.components.videocards,palit,259.38,1515915625539296005,mSr6m49shR,2020-11-01
759702,2021-02-07 15:00:17+00:00,purchase,893196,2144415922427789416,computers.components.videocards,sapphire,214.1,1515915625574031850,DkdUGsTftq,2021-02-01
685058,2021-01-26 13:12:50+00:00,purchase,4101104,2144415922092245087,computers.peripherals.joystick,dialog,72.98,1515915625595996941,ZDVRNcmxeB,2021-01-01
686593,2021-01-26 17:11:31+00:00,purchase,1444883,2144415926932472027,computers.components.cooler,pccooler,18.89,1515915625596534847,kHMr8w3r6W,2021-01-01
755885,2021-02-06 23:58:50+00:00,purchase,4079421,2144415922427789416,computers.components.videocards,gigabyte,479.51,1515915625601599114,ngUqijhPYc,2021-02-01
580377,2021-01-10 12:33:33+00:00,purchase,3606492,2144415924491387038,computers.components.motherboard,asrock,81.14,1515915625570259986,mG4wnl6FD4,2021-01-01
483842,2020-12-22 08:37:00+00:00,purchase,743182,2144415935631458761,construction.tools.soldering,kada,65.08,1515915625566567265,bV6ZnHyvEV,2020-12-01
496917,2020-12-24 14:51:19+00:00,purchase,4183707,2144415922092245087,computers.peripherals.joystick,dialog,72.19,1515915625564941887,AsHcKSXOSK,2020-12-01
138282,2020-10-23 08:13:31+00:00,purchase,1803580,2144415924751433893,computers.notebook,palmexx,32.86,1515915625529483255,ggH1hE12gZ,2020-10-01
748994,2021-02-05 18:40:43+00:00,purchase,781184,2144415923107266682,computers.peripherals.printer,canon,37.46,1515915625601009671,GVXyQHzBdI,2021-02-01
553871,2021-01-05 19:45:24+00:00,purchase,4170137,2144415922427789416,computers.components.videocards,asus,220.95,1515915625573248526,1TGiehaXiP,2021-01-01
472864,2020-12-20 12:40:46+00:00,purchase,1830099,2144415922427789416,computers.components.videocards,palit,486.81,1515915625565686650,531r6rX3rN,2020-12-01
855774,2021-02-23 15:13:00+00:00,purchase,39101,2144415925623849146,appliances.kitchen.mixer,bosch,58.86,1515915625608806337,wZeqAt9gkq,2021-02-01
801861,2021-02-14 10:39:37+00:00,purchase,3967707,2144415922427789416,computers.components.videocards,gigabyte,672.63,1515915625605358309,KUCDReOiPp,2021-02-01
137753,2020-10-23 06:32:11+00:00,purchase,462239,2144415923107266682,computers.peripherals.printer,brother,144.51,1515915625529413277,5RKOC0tL19,2020-10-01
107390,2020-10-18 07:25:43+00:00,purchase,892102,2144415922662670447,computers.ebooks,digma,67.27,1515915625527294941,rcWBkwHkou,2020-10-01
733869,2021-02-03 11:26:07+00:00,purchase,4079421,2144415922427789416,computers.components.videocards,gigabyte,479.51,1515915625600115981,L2PsXB8Blf,2021-02-01
804518,2021-02-14 18:10:22+00:00,purchase,4078916,2144415922427789416,computers.components.videocards,sapphire,415.54,1515915625605509782,Cpvzb7YAFj,2021-02-01
708906,2021-01-30 12:19:03+00:00,purchase,4154618,2144415922427789416,computers.components.videocards,msi,457.51,1515915625598210308,DEjeVUdtBS,2021-01-01
744851,2021-02-05 06:08:51+00:00,purchase,3829444,2144415922427789416,computers.components.videocards,gigabyte,897.79,1515915625598545150,yXr3xhhnwC,2021-02-01
544619,2021-01-04 08:11:22+00:00,purchase,809948,2144415924491387038,computers.components.motherboard,asus,64.48,1515915625542027638,IAJgJGphbB,2021-01-01
579909,2021-01-10 11:13:29+00:00,purchase,1830085,2144415924424278172,electronics.audio.acoustic,oklick,46.81,1515915625538335444,AiasV2mSgu,2021-01-01
665909,2021-01-23 13:43:01+00:00,purchase,893192,2144415922427789416,computers.components.videocards,asus,253.38,1515915625594590115,5OqHnKa1Kt,2021-01-01
511954,2020-12-27 17:52:30+00:00,purchase,1430801,2144415926806642904,computers.components.power_supply,crown,41.51,1515915625569659588,JYRf3HW1Yk,2020-12-01
846265,2021-02-21 19:47:30+00:00,purchase,37027,2144415924323614873,appliances.kitchen.kettle,bosch,48.84,1515915625608215151,RqxLHbphlL,2021-02-01
48091,2020-10-05 12:32:54+00:00,purchase,3606492,2144415924491387038,computers.components.motherboard,asrock,81.14,1515915625520191157,R0VuCwV3bv,2020-10-01
730294,2021-02-02 19:09:09+00:00,purchase,3791351,2144415926966026460,computers.components.cpu,amd,204.29,1515915625599491887,hu9gaTSAan,2021-02-01
64365,2020-10-08 22:31:25+00:00,purchase,52708,2144415922016747613,computers.peripherals.wifi,ubiquiti,56.62,1515915625506903608,itGVW5hXEB,2020-10-01
564042,2021-01-07 17:18:40+00:00,purchase,4155375,2144415922427789416,computers.components.videocards,asus,501.54,1515915625573952376,9XfelJoin3,2021-01-01
40750,2020-10-03 20:48:09+00:00,purchase,471287,2144415924424278172,electronics.audio.acoustic,edifier,117.75,1515915625522105081,Hj8GznxFPA,2020-10-01
487678,2020-12-22 19:25:25+00:00,purchase,4155251,2144415922587172973,electronics.telephone,spigen,29.52,1515915625567220535,jHlhOH6XBi,2020-12-01
879857,2021-02-27 23:54:40+00:00,purchase,1282166,2144415973346640379,computers.components.hdd,samsung,60.54,1515915625596223978,23rgL9Smqy,2021-02-01
646497,2021-01-20 11:31:45+00:00,purchase,839565,2144415922553618540,electronics.telephone,sirius,13.02,1515915625595139692,M1mIpbQ12o,2021-01-01
839821,2021-02-20 16:35:37+00:00,purchase,824149,2144415926806642904,computers.components.power_supply,zalman,127.08,1515915625607800341,8TBalfVFet,2021-02-01
249542,2020-11-10 08:44:32+00:00,purchase,475616,2144415924491387038,computers.components.motherboard,asrock,55.35,1515915625532876196,A2cLxP5NEg,2020-11-01
672833,2021-01-24 16:10:39+00:00,purchase,799067,2144415923107266682,computers.peripherals.printer,canon,82.97,1515915625596639797,OGS0qx6kNf,2021-01-01
