,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,month
592849,2021-01-12 09:08:39+00:00,view,4099079,2144415923577028742,computers.peripherals.mouse,redragon,37.48,1515915625592200002,0vlvZdWMZk,2021-01-01
333977,2020-11-22 10:18:19+00:00,view,1803369,2144415926697590997,computers.desktop,steelseries,108.59,1515915625542265276,A7Q1PcwSBV,2020-11-01
294022,2020-11-16 18:10:13+00:00,cart,4099840,2144415922427789416,computers.components.videocards,msi,274.4,1515915625540148727,QWooD93MCy,2020-11-01
223873,2020-11-06 10:16:49+00:00,cart,52708,2144415922016747613,computers.peripherals.wifi,ubiquiti,56.62,1515915625536274067,0hlWdtMXKN,2020-11-01
773250,2021-02-09 15:42:30+00:00,view,4079422,2144415922427789416,computers.components.videocards,gigabyte,418.48,1515915625600294691,UFtvnISNNw,2021-02-01
77483,2020-10-12 08:25:54+00:00,view,893196,2144415922427789416,computers.components.videocards,sapphire,214.1,1515915625525037478,7e6meue9EO,2020-10-01
547897,2021-01-04 18:10:44+00:00,view,1444162,2144415922167742561,computers.components.hdd,toshiba,83.62,1515915625572826718,f07DpVLpQQ,2021-01-01
658160,2021-01-22 07:49:57+00:00,cart,4183859,2144415922427789416,computers.components.videocards,msi,205.25,1515915625595818974,AUkeCJL9F4,2021-01-01
490498,2020-12-23 10:46:03+00:00,view,3790736,2144415923107266682,computers.peripherals.printer,canon,163.52,1515915625566139741,1yq9Y011JT,2020-12-01
396780,2020-12-04 20:02:22+00:00,view,4079501,2144415923207929981,auto.accessories.player,pioneer,115.71,1515915625546773409,vV1zQNVNlH,2020-12-01
448568,2020-12-15 17:22:06+00:00,view,4079061,2144415922427789416,computers.components.videocards,powercolor,399.48,1515915625563583177,CzywkqT8O1,2020-12-01
593943,2021-01-12 11:38:06+00:00,view,4099645,2144415922427789416,computers.components.videocards,gigabyte,292.83,1515915625592220696,rTOHtM9yuR,2021-01-01
615706,2021-01-15 16:56:18+00:00,view,4101537,2144415922427789416,computers.components.videocards,asus,307.43,1515915625572739225,4w3Ho026RA,2021-01-01
