username,transacion_date,amount
john67,2023-01-27 12:37:26.085278,291.58
fmurphy,2022-12-26 03:42:47.299438,346.75
william46,2022-12-19 22:46:55.983427,909.41
cbarber,2023-01-11 03:42:09.303314,359.43
curtis05,2023-01-12 08:07:59.297218,731.88
joseph50,2023-01-06 01:51:43.245715,65.25
dorothy99,2023-02-13 05:55:12.515391,897.7
jmiller,2022-12-27 21:22:23.579491,505.01
kelly32,2022-12-23 20:37:41.178421,330.51
nathaniel63,2022-12-21 20:08:19.314117,84.83
brian31,2023-04-05 23:29:43.991039,367.18
valerielewis,2023-04-05 21:47:27.036353,466.31
christopher53,2023-03-27 01:24:38.898763,303.63
delgadojulie,2022-12-13 07:32:13.123238,83.18
dana26,2023-03-07 14:18:34.682167,155.63
zhoward,2023-03-10 13:35:57.615285,562.52
cadams,2023-03-05 12:08:09.170229,202.22
hwolfe,2023-02-24 04:17:27.134229,959.32
nicolechandler,2023-03-11 19:03:13.534720,741.53
monica44,2023-02-09 21:23:45.876002,422.95
johncox,2023-03-05 09:03:53.858504,687.9
madison17,2023-01-06 13:03:42.277921,550.6
amullins,2022-12-30 12:31:25.166266,813.84
christopherroberts,2023-03-10 13:05:05.669148,510.04
jodimartinez,2022-12-28 15:34:55.307496,820.97
alison78,2023-03-23 17:18:11.573666,252.09
thomasgregory,2023-02-27 20:01:46.884691,477.56
cohenstacy,2023-01-07 05:41:43.283950,701.76
nvazquez,2022-12-25 15:44:32.013062,949.26
gnguyen,2023-03-11 23:12:48.231000,474.28
javierchandler,2023-02-19 03:15:52.128145,681.01
kjones,2023-01-02 12:38:58.073136,635.98
diane48,2023-02-25 10:40:18.382657,335.6
fuenteslance,2022-12-30 22:23:18.984261,555.27
alexishiggins,2023-01-22 05:46:03.817111,351.87
johnwyatt,2023-03-29 04:45:43.292523,599.77
aatkinson,2023-02-27 20:25:44.356685,169.51
bmichael,2023-03-31 03:37:37.573202,405.06
campbellmichael,2023-02-18 07:26:31.522884,966.74
xgill,2023-02-22 04:24:56.086278,266.06
ericmyers,2023-01-10 11:14:24.469473,547.86
fthomas,2022-12-14 08:08:20.861373,932.34
larrykoch,2022-12-10 01:40:19.160504,534.97
steven98,2022-12-20 15:50:28.030137,751.29
fcarter,2023-02-24 03:52:40.400537,661.39
daniel05,2023-02-02 14:43:34.073013,727.13
patricia15,2023-02-21 23:14:23.564509,75.61
qjohnson,2023-02-17 12:58:56.890364,983.67
charles56,2023-03-25 12:43:41.681547,887.65
dhaynes,2023-03-23 13:59:09.433987,551.83
colemandawn,2023-02-21 12:34:09.693744,578.29
rrodgers,2023-01-28 04:50:19.258550,821.04
zmccullough,2023-01-22 02:10:34.142349,846.35
frank26,2023-01-13 00:50:20.841349,71.65
ashley03,2023-04-07 09:33:03.807043,976.11
irivera,2023-03-06 22:29:40.789427,618.57
bensonmichael,2023-01-01 16:42:12.575317,595.49
lanestanley,2023-03-28 11:07:44.262670,823.74
patrick05,2022-12-13 15:47:42.343415,973.3
holtrobert,2023-01-19 05:12:20.611441,924.1
qherrera,2023-03-12 01:45:26.305949,186.2
cwest,2023-03-29 19:46:03.849497,440.85
tanderson,2023-04-09 12:44:30.588068,183.0
dianemcgee,2023-02-02 06:16:40.515383,97.07
karamaldonado,2023-01-04 22:56:47.178144,60.55
ryanwilliams,2023-03-31 21:15:49.051147,260.93
vbarker,2022-12-27 22:37:39.811117,534.4
marieparsons,2023-03-28 01:27:23.230702,151.56
fparker,2023-01-29 04:48:48.901995,164.13
michael18,2023-02-02 14:57:22.518565,375.96
jason01,2023-03-06 22:40:17.394932,265.1
smithnicole,2023-01-28 00:33:05.138680,609.47
robertrobinson,2023-02-27 14:10:01.557952,487.3
rhammond,2023-02-11 22:55:28.611107,423.61
patrick72,2022-12-23 14:52:41.860629,123.72
zburch,2023-02-21 13:06:44.640126,366.74
hjacobs,2023-01-23 23:44:45.580148,156.43
joshua20,2023-03-14 08:59:51.176749,739.92
thomas06,2023-02-05 12:12:11.429998,378.05
suttonmitchell,2022-12-20 19:09:28.010849,629.78
alexandra30,2023-02-10 08:15:06.980347,663.04
edwardskim,2023-03-10 01:53:16.150457,880.16
josephsandoval,2023-01-01 14:36:07.366949,150.61
james76,2023-01-19 06:48:03.001314,841.41
hessgrace,2023-03-12 22:45:27.097987,346.45
qwilliamson,2022-12-22 09:57:22.441082,852.22
angelamorton,2023-01-17 06:34:20.879595,813.98
markbaird,2022-12-25 19:57:06.671020,824.89
ibaldwin,2023-04-02 20:53:14.501503,216.13
jenniferallen,2023-01-14 08:28:11.005676,421.94
loriturner,2023-03-09 17:08:01.091770,347.43
kenneth06,2023-03-05 14:31:48.963564,65.44
fitzgeraldchristina,2023-03-06 05:34:04.672652,622.11
gallagheranthony,2023-02-15 05:42:17.171470,170.82
taylor69,2023-01-01 05:34:51.381587,275.83
ashleylawrence,2023-01-19 03:50:12.571898,968.75
paul67,2023-03-31 21:03:30.619487,286.81
hallcarol,2023-02-17 06:25:14.860869,453.0
zrobinson,2023-02-04 13:46:30.020345,575.09
jacksonchristian,2022-12-25 05:57:43.804298,245.88
barbaraperez,2023-04-07 02:01:56.633030,447.26
icole,2023-01-09 08:30:25.739712,868.01
gabriellemontgomery,2023-04-01 00:24:58.636485,487.69
bakerkatie,2023-03-29 04:49:16.690554,867.1
jamesharris,2023-01-15 04:57:22.174441,150.61
karl63,2023-01-12 20:40:43.892996,153.9
deannaperez,2023-01-08 07:19:48.012392,276.27
gwilson,2022-12-16 10:43:14.950441,660.15
gabriella40,2023-02-10 17:46:38.260994,826.59
jadams,2023-01-20 11:10:36.551823,644.85
kberg,2023-03-11 04:03:00.969408,980.81
adamcurry,2023-02-06 10:08:30.879352,245.47
benjaminpatel,2022-12-18 13:08:47.739408,771.94
dward,2022-12-18 11:14:37.658022,586.9
donaldjimenez,2023-04-02 16:29:22.893435,784.37
frobbins,2022-12-28 01:52:18.429877,411.06
jill60,2023-01-25 11:20:05.112654,192.08
dylancarey,2023-04-07 05:07:10.422112,326.34
kjohnson,2023-01-02 15:44:13.574952,924.08
tstevens,2023-04-08 00:33:07.232987,637.89
weaverkristen,2023-01-20 21:29:28.919084,569.06
vlopez,2023-03-07 04:18:10.721067,818.96
juan05,2023-02-24 00:12:07.122691,115.45
jeffrey96,2023-03-27 04:41:49.652286,727.25
caitlynfisher,2023-02-14 09:07:36.475583,796.08
ftyler,2023-04-09 15:33:13.661373,408.07
vanessa81,2023-03-26 00:21:33.754655,73.63
ycooper,2023-02-28 20:14:39.296986,55.93
elizabethfrazier,2023-01-10 19:05:34.483952,461.95
tyronealexander,2022-12-22 20:53:08.710672,375.91
zcastro,2022-12-09 07:00:11.011213,989.24
idavis,2023-01-18 10:22:21.565111,705.48
leroy58,2022-12-24 02:04:18.683172,960.89
francisjeanette,2023-04-06 06:29:36.732011,791.88
mcneilalexander,2023-02-12 09:12:20.904916,151.05
aaronrobinson,2023-03-17 18:14:30.202189,380.15
johnsonlaura,2022-12-31 02:53:13.335801,493.2
heather59,2022-12-20 07:45:56.713740,832.79
williamscynthia,2023-04-01 18:29:18.032985,219.56
uwarren,2023-02-28 13:36:44.000835,864.13
danielle84,2023-03-20 14:14:37.977864,678.73
davislinda,2023-01-01 16:03:44.033751,440.11
ynguyen,2023-03-31 09:41:45.369327,671.53
smithtracy,2023-01-25 18:12:12.057949,387.08
shaunhensley,2023-02-16 07:47:38.130249,787.9
frankvargas,2023-02-21 23:43:07.838295,136.81
jonesrobert,2022-12-25 14:27:48.452415,598.14
