"username","reg_day","log_day"
"matthewsbrian","2023/03/31","2023/03/31"
"natalie38","2023/03/02","2023/03/02"
"xferguson","2023/02/02","2023/02/02"
"solomontraci","2023/03/26","2023/03/26"
"michellesanders","2023/01/22","2023/01/22"
"smithbobby","2023/02/26","2023/02/26"
"deborah40","2022/12/22","2022/12/22"
"ericstewart","2023/02/03","2023/02/03"
"fmurphy","2022/12/26","2022/12/26"
"zburch","2023/02/21","2023/02/21"
"shelbybrown","2022/12/14","2022/12/14"
"rodney09","2023/02/27","2023/02/27"
"spencer50","2023/01/21","2023/01/21"
"laurie63","2023/01/01","2023/01/01"
"emilyhowell","2023/01/31","2023/01/31"
"qstanley","2023/01/30","2023/01/30"
"thomasgregory","2023/02/27","2023/02/27"
"paul67","2023/03/31","2023/03/31"
"jessicaherring","2023/03/06","2023/03/06"
"karamaldonado","2023/01/04","2023/01/04"
"rodriguezrobert","2023/01/28","2023/01/28"
"ipena","2023/03/31","2023/03/31"
"gmarquez","2023/03/26","2023/03/26"
"george28","2022/12/20","2022/12/20"
"herbertwalker","2023/03/23","2023/03/23"
"courtneysmith","2022/12/19","2022/12/19"
"davidromero","2023/02/18","2023/02/18"
"drew83","2023/03/15","2023/03/15"
"robertsharp","2023/04/06","2023/04/06"
"davisjessica","2023/01/01","2023/01/01"
"taylorjason","2023/03/22","2023/03/22"
"frankvargas","2023/02/21","2023/02/21"
"hreid","2022/12/12","2022/12/12"
"barbara95","2023/02/18","2023/02/18"
"smurphy","2023/03/01","2023/03/01"
"troyprice","2022/12/30","2022/12/30"
"kmedina","2023/02/03","2023/02/03"
"shane16","2023/01/02","2023/01/02"
"mary68","2023/02/28","2023/02/28"
"bradley99","2023/04/02","2023/04/02"
"michele39","2023/01/26","2023/01/26"
"michaelperez","2023/04/08","2023/04/08"
"mullenrachel","2023/02/15","2023/02/15"
"garciashane","2023/03/29","2023/03/29"
"danielbrock","2023/03/10","2023/03/10"
"blackmatthew","2023/02/04","2023/02/04"
"wrobinson","2023/03/14","2023/03/14"
"paul28","2023/01/22","2023/01/22"
"ruizjoshua","2023/01/22","2023/01/22"
"hlittle","2023/01/27","2023/01/27"
"charles52","2023/01/15","2023/01/15"
"smithalexander","2022/12/14","2022/12/14"
"alyssaortega","2023/04/04","2023/04/04"
"fjones","2023/01/14","2023/01/14"
"grimeskristin","2023/01/21","2023/01/21"
"sreed","2023/03/21","2023/03/21"
"rjones","2023/03/08","2023/03/08"
"matthewsjennifer","2023/04/07","2023/04/07"
"jessicahoffman","2022/12/29","2022/12/29"
