user_id,group,rounds_total,ret_7
116,level_10,3,0
337,level_10,38,0
377,level_25,165,0
483,level_25,1,0
488,level_25,179,1
540,level_25,187,1
1066,level_10,0,0
1444,level_25,2,0
1574,level_25,108,1
1587,level_25,153,0
1842,level_25,3,1
2101,level_10,0,0
2132,level_25,30,0
2179,level_10,39,0
2218,level_10,305,1
2382,level_10,73,0
2392,level_10,14,0
2451,level_10,204,1
2482,level_10,108,1
2502,level_25,1,0
2530,level_25,9,0
2534,level_10,5,0
2695,level_25,45,0
2729,level_10,105,1
2829,level_10,4,0
2963,level_10,3,0
3095,level_10,0,0
3132,level_25,80,1
3186,level_25,4,0
3199,level_10,5,0
3204,level_25,53,1
3413,level_10,37,0
3690,level_10,13,0
3696,level_10,50,0
3993,level_25,202,1
4076,level_25,0,0
4162,level_10,23,0
4176,level_10,0,0
4283,level_10,103,0
4594,level_10,27,0
4653,level_25,15,0
4881,level_10,0,0
4902,level_25,1,0
4916,level_25,49,0
4918,level_10,7,0
4929,level_10,386,1
4945,level_25,25,0
5066,level_10,1,0
5215,level_10,13,0
5286,level_10,12,0
5345,level_25,6,0
5479,level_10,25,0
5550,level_10,29,0
5661,level_10,136,0
5712,level_10,105,1
5920,level_25,10,0
5943,level_25,76,0
6099,level_25,138,0
6123,level_10,0,0
6151,level_10,94,1
6156,level_25,1,0
6492,level_10,0,0
6664,level_25,26,0
6695,level_25,127,0
6833,level_25,6,0
6842,level_25,4,0
6924,level_10,21,0
6930,level_25,297,1
7124,level_25,108,1
7253,level_10,45,0
7321,level_25,33,0
7509,level_25,0,0
7527,level_10,80,0
7564,level_10,21,0
7582,level_25,3,0
7767,level_10,139,1
7866,level_10,14,0
8063,level_10,50,0
8254,level_25,14,0
8256,level_25,14,0
8288,level_10,9,0
8317,level_25,3,0
8379,level_10,0,0
8464,level_10,10,0
8465,level_25,4,0
8494,level_10,5,0
8644,level_10,2,0
8679,level_10,0,0
8692,level_10,3,0
8753,level_25,10,0
8788,level_10,19,1
8801,level_25,0,0
8885,level_25,5,0
9001,level_25,16,0
9308,level_25,95,0
9443,level_25,3,0
9589,level_10,8,0
9699,level_25,8,0
9828,level_25,1,0
9831,level_25,3,0
9849,level_25,1,0
10112,level_10,6,0
10200,level_25,106,1
10218,level_10,22,0
10276,level_25,1,0
10336,level_10,11,0
10476,level_25,4,0
10533,level_25,21,0
10598,level_25,8,0
